,Year,Smoke_estimate,Mean_GIS_Acres,Mean_Distance
0,1963,29.330027686718054,692.5235407100147,460.3645452718566
1,1964,83.38519633640354,1228.5005346221446,449.2459777771959
2,1965,29.389300540856407,751.9603422918742,392.1742023383812
3,1966,110.49263546774603,1703.5141548888016,417.19862711809606
4,1967,71.17722905658518,1138.977416432713,376.2756177154887
5,1968,82.64087522255569,829.3690657565128,329.4569346561656
6,1969,52.39273653968557,636.8386190898266,354.55040354858534
7,1970,158.36492511876034,1803.4176025607958,446.2319214606959
8,1971,59.563782450221446,1538.7431977305919,464.9625769567707
9,1972,36.30372985674425,836.7074484321153,378.99257305350693
10,1973,75.09977214349998,1393.539904049613,402.86916758147356
11,1974,47.15798212848116,712.3819606844437,395.86346008944395
12,1975,100.23339693979096,857.7179848772389,350.55860065757537
13,1976,48.92304636249661,1047.0482061581217,376.28400647940003
14,1977,103.46660371868053,1192.2663225999108,393.5123253800989
15,1978,25.810514032779036,391.49771530295266,409.19612338761306
16,1979,86.18827278692598,1079.0026261740488,380.5084131452454
17,1980,62.14051216215482,895.1728571892658,426.5409491879354
18,1981,61.73156261624781,1330.3397171391982,424.49535696731556
19,1982,41.9064200807195,676.7639580371155,457.09350853708446
20,1983,50.46496528917513,1175.340814683703,457.40574965549024
21,1984,86.65055200126284,1329.3067827432305,446.9979223736256
22,1985,117.46540640600793,2032.9608577195372,479.7410862113085
23,1986,57.52613084486563,1301.1503526802405,483.59057424377033
24,1987,68.53303183968512,1220.1884318987181,531.4323068221623
25,1988,80.74131353702735,2627.01227829287,534.239705856431
26,1989,35.8507733561584,1004.5119362321307,529.3210124483502
27,1990,59.10564850525192,1098.8737613871647,486.7733864266729
28,1991,24.584875333857163,906.8074902021018,552.2207762668584
29,1992,52.481157197833866,1361.8923667022198,468.9545292703568
30,1993,84.99914550782884,1488.2704497189684,456.89614341142567
31,1994,81.78883653509858,2275.535513934127,553.4119981221153
32,1995,75.9724479008792,1555.4002602375326,449.2517473929092
33,1996,156.3268767740553,3511.8117954852332,487.6788206896637
34,1997,65.62677849868282,841.8461420518192,433.43218061502483
35,1998,45.58442688657931,1303.4708728085577,518.8668059498945
36,1999,135.2751024586268,2838.260908150507,477.13853994972607
37,2000,102.32314904284847,2954.5019660204052,597.3792443065672
38,2001,58.22875383768882,1566.4193331173162,502.9729581244013
39,2002,159.90662117544082,2737.413306875288,522.578019893635
40,2003,92.20988891146014,2116.007855053352,534.7521558727901
41,2004,45.97752186815115,951.0358239664517,468.6598928265023
42,2005,99.72296639467318,2197.018982909944,476.89955601288807
43,2006,104.023805102525,2844.7317694764142,535.9522982708991
44,2007,123.12942393068596,3090.7477636533076,543.3063199647013
45,2008,75.44127963106337,1829.6159007095052,570.6087203270882
46,2009,48.53822490350583,1229.4580900830288,564.7735231751648
47,2010,35.454271515537755,966.4013684950186,572.3683509880609
48,2011,83.32489241585516,2897.04927231573,639.1951345058347
49,2012,105.58302633237426,3378.668091142325,579.7584330183448
50,2013,64.20340397354781,1469.960096121764,532.1878997006048
51,2014,50.348435769697716,2064.0628618882342,615.9643504439409
52,2015,89.48470577812004,2246.644817877322,633.018180492223
53,2016,73.90860822665243,2053.9774564605996,623.1569284774611
54,2017,136.4233525455444,3088.4941011599963,555.7975368684382
55,2018,98.09936290580539,2690.5210957859135,570.1809838433492
56,2019,31.255529865057408,865.2341383843003,525.801426143753
57,2020,173.53293371289064,2553.348648501198,550.0703813025733
